Activity,Opened,RID,St,Type,Sc,SIC,NAICS,Vio,Establishment Name,query,query_start,query_end
1526058.015,04/14/2021,452110,KY,Complaint,Partial,5999.0,453998,10,63684 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1517161.015,03/02/2021,552652,MI,Complaint,Partial,,452990,1,Dollar Tree,Dollar Tree,2012-12-19,2022-12-19
1516137.015,02/24/2021,950624,CA,Complaint,Partial,,452112,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1510493.015,01/19/2021,213900,NJ,Complaint,Partial,,453998,1,Dollar Tree #07255,Dollar Tree,2012-12-19,2022-12-19
1505554.015,12/09/2020,316700,PA,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1503555.015,11/23/2020,454715,TN,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1501569.015,11/09/2020,626600,TX,Complaint,Partial,,452112,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1500406.015,10/30/2020,729700,KS,Complaint,Partial,,453998,7,Dollar Tree,Dollar Tree,2012-12-19,2022-12-19
1500040.015,10/23/2020,420600,FL,Complaint,Partial,,452990,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1493953.015,09/22/2020,316100,DC,Referral,Complete,,452990,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1493680.015,09/21/2020,950624,CA,Complaint,Partial,,452112,2,"Dollar Tree, Inc.",Dollar Tree,2012-12-19,2022-12-19
1493669.015,09/18/2020,950411,AZ,Complaint,Partial,,452990,2,"Dollar Tree Stores, Inc. #06622",Dollar Tree,2012-12-19,2022-12-19
1489900.015,08/20/2020,551800,IN,Complaint,Partial,5331.0,452990,2,111277 - Dollar Tree Incorporated,Dollar Tree,2012-12-19,2022-12-19
1484134.015,07/20/2020,214500,NJ,Complaint,Partial,,452990,4,Dollar Tree,Dollar Tree,2012-12-19,2022-12-19
1484189.015,07/17/2020,552700,MN,Complaint,Partial,,452990,4,101759 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1479001.015,06/08/2020,830100,MT,Complaint,Partial,,452990,1,Dollar Tree Inc.,Dollar Tree,2012-12-19,2022-12-19
1476681.015,05/28/2020,950411,AZ,Complaint,Partial,,453220,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1476491.015,05/26/2020,950624,CA,Complaint,Partial,,493110,2,"Dollar Tree Distribution, Inc",Dollar Tree,2012-12-19,2022-12-19
1475358.015,05/14/2020,454510,SC,Complaint,Partial,5331.0,452990,2,74494 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1473721.015,04/29/2020,1055310,WA,Complaint,Partial,,452990,1,Wa317959027 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1470036.015,03/17/2020,454712,TN,Complaint,Partial,,452112,4,"Dollar Tree Stores, Inc",Dollar Tree,2012-12-19,2022-12-19
1467899.015,03/04/2020,552700,MN,Complaint,Partial,,452990,1,101288 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1468240.015,03/03/2020,452110,KY,Planned,Complete,5331.0,452990,6,61547 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1464979.015,02/28/2020,111400,MA,Complaint,Partial,,453998,2,Dollar Tree Store #4163,Dollar Tree,2012-12-19,2022-12-19
1464924.015,02/24/2020,454712,TN,Complaint,Partial,,452112,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1463783.015,02/19/2020,111700,NH,Complaint,Partial,,452112,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1464344.015,02/19/2020,830400,SD,Complaint,Partial,,452112,2,"Dollar Tree, Inc.",Dollar Tree,2012-12-19,2022-12-19
1460827.015,02/03/2020,453720,NC,Complaint,Partial,5399.0,452990,7,"144649 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1467491.015,01/24/2020,1054113,OR,Complaint,Partial,5331.0,452990,2,317726787 - Dollar Tree Stores Inc,Dollar Tree,2012-12-19,2022-12-19
1457133.015,01/22/2020,112000,CT,Complaint,Partial,,452990,3,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1454448.015,01/08/2020,453710,NC,Complaint,Partial,5331.0,452990,3,"144407 - Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1454236.015,01/07/2020,418600,AL,Complaint,Partial,,452990,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1453267.015,12/30/2019,111400,MA,Complaint,Partial,,453998,4,Dollar Tree Store #7611,Dollar Tree,2012-12-19,2022-12-19
1453278.015,12/30/2019,453710,NC,Complaint,Partial,5331.0,452990,5,144350 - Dollar Tree Stores Inc.,Dollar Tree,2012-12-19,2022-12-19
1453164.015,12/27/2019,111700,NH,Complaint,Partial,,452990,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1452137.015,12/19/2019,355124,VA,Complaint,Partial,,452112,2,"Dollar Tree, Inc.",Dollar Tree,2012-12-19,2022-12-19
1452650.015,12/18/2019,1032500,ID,Complaint,Partial,,551114,1,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
1451149.015,12/16/2019,317700,PA,Complaint,Partial,,452990,2,"Dollar Tree Stores, Inc.",Dollar Tree,2012-12-19,2022-12-19
