#,Citation ID,Citaton Type,Standard,Issuance Date,Abatement Due Date,Current Penalty,Initial Penalty,FTA Penalty,Contest,Latest Event,Note,activity_code
2.0,2001,Repeat,19100157 C01,10/06/2022,10/26/2022,"$136,741","$136,741",$0,10/11/2022,C - Contested,,1590571.015
3.0,2002,Repeat,19100303 G01 II,10/06/2022,10/26/2022,"$136,741","$136,741",$0,10/11/2022,C - Contested,,1590571.015
1.0,1001,Repeat,19100037 A03,10/06/2022,10/26/2022,"$145,027","$145,027",$0,10/11/2022,C - Contested,,1590827.015
2.0,1002,Repeat,19100157 C01,10/06/2022,10/26/2022,"$22,792","$22,792",$0,10/11/2022,C - Contested,,1590827.015
3.0,1003,Repeat,19100176 B,10/06/2022,10/26/2022,"$145,027","$145,027",$0,10/11/2022,C - Contested,,1590827.015
1.0,1001,Other,19040032 B06,09/29/2022,10/03/2022,"$1,100","$1,100",$0,,Z - Issued,,1590051.015
1.0,1001,Willful,19100022 A01,10/06/2022,10/19/2022,"$136,736","$136,736",$0,10/11/2022,C - Contested,,1589448.015
2.0,1002,Willful,19100037 A03,10/06/2022,,"$136,736","$136,736",$0,10/11/2022,C - Contested,,1589448.015
3.0,1003,Willful,19100303 G01 II,10/06/2022,10/19/2022,"$136,736","$136,736",$0,10/11/2022,C - Contested,,1589448.015
1.0,1001,Repeat,19100036 D01,10/06/2022,11/02/2022,"$145,027","$145,027",$0,10/12/2022,C - Contested,,1588719.015
2.0,1002,Repeat,19100036 G02,10/06/2022,11/02/2022,"$145,027","$145,027",$0,10/12/2022,C - Contested,,1588719.015
3.0,1003,Repeat,19100037 A03,10/06/2022,11/02/2022,"$145,027","$145,027",$0,10/12/2022,C - Contested,,1588719.015
4.0,1004,Repeat,19100157 C01,10/06/2022,11/02/2022,"$22,792","$22,792",$0,10/12/2022,C - Contested,,1588719.015
5.0,1005,Repeat,19100303 G01 II,10/06/2022,11/02/2022,"$91,157","$91,157",$0,10/12/2022,C - Contested,,1588719.015
1.0,1001,Repeat,19100022 A01,08/11/2022,08/30/2022,"$91,157","$91,157",$0,08/26/2022,C - Contested,,1586442.015
2.0,1002,Repeat,19100037 A03,08/11/2022,08/30/2022,"$91,157","$91,157",$0,08/26/2022,C - Contested,,1586442.015
3.0,1003,Repeat,19100176 B,08/11/2022,08/30/2022,"$91,157","$91,157",$0,08/26/2022,C - Contested,,1586442.015
4.0,1004,Repeat,19100303 G01 II,08/11/2022,08/30/2022,"$91,157","$91,157",$0,08/26/2022,C - Contested,,1586442.015
1.0,01001,Repeat,19100037 A03,05/16/2022,05/31/2022,"$2,500","$2,500",$0,,I - Informal Settlement,,1585314.015
2.0,02001A,Other,19100157 E02,05/16/2022,05/31/2022,$250,$250,$0,,I - Informal Settlement,,1585314.015
3.0,02001B,Other,19100157 E03,05/16/2022,05/31/2022,$250,$250,$0,,I - Informal Settlement,,1585314.015
1.0,1001,Willful,19100022 A01,08/11/2022,08/30/2022,"$136,736","$136,736",$0,08/26/2022,C - Contested,,1585315.015
2.0,1002,Willful,19100037 A03,08/11/2022,08/30/2022,"$136,736","$136,736",$0,08/26/2022,C - Contested,,1585315.015
